Date,Open,High,Low,Close,Adj Close,Volume
14-04-2009,75353.04695,75496.00097,74621.46805,74915.78305,74915.78305,362
15-04-2009,74840.1,75285.77597,74747.60305,75075.55097,75075.55097,665
16-04-2009,74915.78305,75126.00805,73393.75097,73940.33597,73940.33597,632
17-04-2009,73494.66,73637.61403,72737.85,72939.66805,72939.66805,212
20-04-2009,73057.39097,74756.01,72830.34695,74587.83,74587.83,655
21-04-2009,74579.42305,75268.95695,74058.06403,74175.78695,74175.78695,230
22-04-2009,74259.87695,75092.37,74251.47,74991.46097,74991.46097,330
23-04-2009,75142.82195,76437.81,75058.73195,76177.13305,76177.13305,234
24-04-2009,76622.80903,76824.62195,76244.40403,76824.62195,76824.62195,438
27-04-2009,77194.62,77194.62,76210.76597,76303.26805,76303.26805,1179
28-04-2009,75655.77403,75655.77403,74848.50695,75075.55097,75075.55097,308
29-04-2009,74848.50695,75891.225,74655.10097,75664.18097,75664.18097,809
30-04-2009,75529.63903,75588.50305,74108.51597,74898.96403,74898.96403,212
01-05-2009,74335.56,74772.82903,74125.335,74638.28195,74638.28195,506
04-05-2009,74486.92097,76311.675,74486.92097,75815.54195,75815.54195,83
05-05-2009,75975.315,76715.30597,75849.18,75992.13403,75992.13403,69
06-05-2009,75790.31597,76614.39695,75790.31597,76563.945,76563.945,30
07-05-2009,77564.61805,77699.16,76555.53805,76942.35,76942.35,64
08-05-2009,76530.30695,76967.57597,76530.30695,76891.89805,76891.89805,156
11-05-2009,76782.57695,76891.89805,76782.57695,76774.17,76774.17,2
12-05-2009,77236.665,77657.115,77034.84695,77657.115,77657.115,24
13-05-2009,77530.98,78178.47403,77463.70903,77825.295,77825.295,71
14-05-2009,77581.43195,77581.43195,77581.43195,78035.52,78035.52,1
15-05-2009,77800.06903,78338.24195,77800.06903,78279.38305,78279.38305,45
18-05-2009,78170.06195,78447.56305,77253.48403,77472.11597,77472.11597,71
19-05-2009,77892.56597,77892.56597,77892.56597,77892.56597,77892.56597,71
20-05-2009,78455.97,79086.645,78287.79,78792.33,78792.33,67
21-05-2009,78968.91695,79372.55305,78825.96805,79952.77097,79952.77097,71
22-05-2009,80465.72305,80617.08403,80465.72305,80600.265,80600.265,12
26-05-2009,80137.77,80179.815,79380.96,80146.17695,80146.17695,20
27-05-2009,79650.04903,80390.04,79650.04903,80154.58903,80154.58903,151332
28-05-2009,79767.77195,81138.44305,79380.96,80852.535,80852.535,74257
29-05-2009,80659.12903,82441.83805,80642.31,82307.29097,82307.29097,7607
01-06-2009,82307.29097,83089.32695,81819.57,82290.47195,82290.47195,2883
02-06-2009,81962.52403,82954.785,81550.48097,82677.28903,82677.28903,2345
03-06-2009,82551.15403,83274.32597,80810.49,81104.805,81104.805,1187
04-06-2009,81029.12195,82576.38,80802.08305,82509.10903,82509.10903,600
05-06-2009,82525.92805,82660.47,80221.86,80869.35403,80869.35403,714
08-06-2009,80558.22,80734.80695,79414.59805,80028.45403,80028.45403,580
09-06-2009,80179.815,81037.53403,79750.95805,80221.86,80221.86,684
10-06-2009,80390.04,81230.94,79818.22903,80221.86,80221.86,698
11-06-2009,80247.08597,80886.17305,79305.27695,80835.71597,80835.71597,583
12-06-2009,80381.63305,80432.085,78691.42097,79053.00695,79053.00695,166
15-06-2009,78918.465,78918.465,77943.02305,77943.02305,77943.02305,258
16-06-2009,78279.38305,78926.87195,78279.38305,78338.24195,78338.24195,149
17-06-2009,78329.835,78859.60097,78237.33805,78657.78805,78657.78805,29
18-06-2009,79212.78,79212.78,78287.79,78540.06,78540.06,91
19-06-2009,78371.88,78750.285,78371.88,78674.60195,78674.60195,73
22-06-2009,77783.25,77884.15903,77278.71,77413.25195,77413.25195,134
23-06-2009,77522.57305,77909.385,77135.75597,77690.75305,77690.75305,181
24-06-2009,77816.88805,79271.64403,77606.66305,78548.46695,78548.46695,588
25-06-2009,78397.10597,78968.91695,78397.10597,78968.91695,78968.91695,72
26-06-2009,79490.27597,79549.14,79010.96195,79103.46403,79103.46403,185
29-06-2009,79061.41903,79254.825,78607.33097,79078.23805,79078.23805,445
30-06-2009,79162.32805,79372.55305,77808.47597,77959.83695,77959.83695,128
01-07-2009,78144.83597,79397.77903,78035.52,79128.69,79128.69,88
02-07-2009,79162.32805,79170.735,77917.79195,78262.56403,78262.56403,67
06-07-2009,78498.015,78498.015,77379.61903,77699.16,77699.16,108
07-07-2009,77715.97903,78346.65403,77463.70903,78102.79097,78102.79097,57
08-07-2009,77329.16195,77329.16195,76151.90195,76437.81,76437.81,41
09-07-2009,76286.44903,77144.16805,76286.44903,77018.03305,77018.03305,74
10-07-2009,76580.76403,76816.215,76395.765,76706.89903,76706.89903,40
13-07-2009,76648.035,77547.79903,76387.35805,77547.79903,77547.79903,30
14-07-2009,77379.61903,77884.15903,77379.61903,77573.025,77573.025,64
15-07-2009,78111.20305,79128.69,78060.74597,78968.91695,78968.91695,67
16-07-2009,78910.05805,78910.05805,78607.33097,78632.55695,78632.55695,63
17-07-2009,78783.92305,78859.60097,78355.06097,78809.14903,78809.14903,34
20-07-2009,80230.26695,80263.905,79961.18305,79759.365,79759.365,5
21-07-2009,79767.77195,79767.77195,79532.32097,79599.59195,79599.59195,15
22-07-2009,79818.22903,80137.77,79582.77805,80137.77,80137.77,71
23-07-2009,80238.67903,80238.67903,79868.68097,80263.905,80263.905,47
